,country,year,PEC(TWh),iso_alpha
8570,Suriname,1990,9.838,SUR
8575,Suriname,1995,9.724,SUR
8580,Suriname,2000,8.274,SUR
8585,Suriname,2005,9.304,SUR
8590,Suriname,2010,13.787,SUR
8595,Suriname,2015,13.047,SUR
8612,Sweden,1980,628.598,SWE
8617,Sweden,1985,674.658,SWE
8622,Sweden,1990,664.438,SWE
8627,Sweden,1995,635.061,SWE
8632,Sweden,2000,620.183,SWE
8637,Sweden,2005,660.353,SWE
8642,Sweden,2010,599.833,SWE
8647,Sweden,2015,604.473,SWE
8667,Switzerland,1980,300.304,CHE
8672,Switzerland,1985,316.543,CHE
8677,Switzerland,1990,324.702,CHE
8682,Switzerland,1995,335.977,CHE
8687,Switzerland,2000,355.818,CHE
8692,Switzerland,2005,331.508,CHE
8697,Switzerland,2010,341.46,CHE
8702,Switzerland,2015,327.336,CHE
8707,Syria,1980,79.804,SYR
8712,Syria,1985,112.358,SYR
8717,Syria,1990,163.638,SYR
8722,Syria,1995,177.533,SYR
8727,Syria,2000,217.392,SYR
8732,Syria,2005,284.773,SYR
8737,Syria,2010,300.974,SYR
8742,Syria,2015,132.887,SYR
8759,Taiwan,1980,313.656,TWN
8764,Taiwan,1985,411.451,TWN
8769,Taiwan,1990,593.787,TWN
8774,Taiwan,1995,785.263,TWN
8779,Taiwan,2000,1038.009,TWN
8784,Taiwan,2005,1237.824,TWN
8789,Taiwan,2010,1294.882,TWN
8794,Taiwan,2015,1324.653,TWN
8802,Tajikistan,1995,58.097,TJK
8807,Tajikistan,2000,55.545,TJK
8812,Tajikistan,2005,67.885,TJK
8817,Tajikistan,2010,57.023,TJK
8822,Tajikistan,2015,67.122,TJK
8824,Tanzania,1980,11.334,TZA
8829,Tanzania,1985,12.306,TZA
8834,Tanzania,1990,15.656,TZA
8839,Tanzania,1995,14.015,TZA
8844,Tanzania,2000,17.171,TZA
8849,Tanzania,2005,28.7,TZA
8854,Tanzania,2010,38.03,TZA
8859,Tanzania,2015,60.898,TZA
8876,Thailand,1980,146.451,THA
8881,Thailand,1985,193.493,THA
8886,Thailand,1990,360.685,THA
8891,Thailand,1995,615.374,THA
8896,Thailand,2000,742.627,THA
8901,Thailand,2005,1031.474,THA
8906,Thailand,2010,1218.402,THA
8911,Thailand,2015,1457.139,THA
8918,Timor,2005,0.76,TLS
8923,Timor,2010,1.028,TLS
8928,Timor,2015,2.138,TLS
8930,Togo,1980,2.749,TGO
8935,Togo,1985,2.857,TGO
8940,Togo,1990,2.675,TGO
8945,Togo,1995,3.226,TGO
8950,Togo,2000,4.309,TGO
8955,Togo,2005,4.902,TGO
8960,Togo,2010,10.87,TGO
8965,Togo,2015,9.847,TGO
8967,Tonga,1980,0.127,TON
8972,Tonga,1985,0.194,TON
8977,Tonga,1990,0.393,TON
8982,Tonga,1995,0.465,TON
8987,Tonga,2000,0.439,TON
8992,Tonga,2005,0.52,TON
8997,Tonga,2010,0.535,TON
9002,Tonga,2015,0.561,TON
9019,Trinidad and Tobago,1980,47.94,TTO
9024,Trinidad and Tobago,1985,59.095,TTO
9029,Trinidad and Tobago,1990,69.587,TTO
9034,Trinidad and Tobago,1995,88.958,TTO
9039,Trinidad and Tobago,2000,118.827,TTO
9044,Trinidad and Tobago,2005,183.928,TTO
9049,Trinidad and Tobago,2010,233.87,TTO
9054,Trinidad and Tobago,2015,222.302,TTO
9059,Tunisia,1980,37.202,TUN
9064,Tunisia,1985,49.426,TUN
9069,Tunisia,1990,57.901,TUN
9074,Tunisia,1995,61.749,TUN
9079,Tunisia,2000,88.213,TUN
9084,Tunisia,2005,106.741,TUN
9089,Tunisia,2010,88.83,TUN
9094,Tunisia,2015,112.028,TUN
9111,Turkey,1980,296.408,TUR
9116,Turkey,1985,383.934,TUR
9121,Turkey,1990,557.845,TUR
9126,Turkey,1995,704.11,TUR
9131,Turkey,2000,859.066,TUR
9136,Turkey,2005,989.854,TUR
9141,Turkey,2010,1250.386,TUR
9146,Turkey,2015,1589.786,TUR
9151,Turkmenistan,1985,143.104,TKM
9156,Turkmenistan,1990,151.891,TKM
9161,Turkmenistan,1995,107.379,TKM
9166,Turkmenistan,2000,119.82,TKM
9171,Turkmenistan,2005,176.6,TKM
9176,Turkmenistan,2010,249.566,TKM
9181,Turkmenistan,2015,332.822,TKM
9186,Turks and Caicos Islands,1980,0.0,TCA
9191,Turks and Caicos Islands,1985,0.0,TCA
9196,Turks and Caicos Islands,1990,0.0,TCA
9201,Turks and Caicos Islands,1995,0.055,TCA
9206,Turks and Caicos Islands,2000,0.289,TCA
9211,Turks and Caicos Islands,2005,0.51,TCA
9216,Turks and Caicos Islands,2010,0.765,TCA
9221,Turks and Caicos Islands,2015,0.854,TCA
9238,USSR,1980,13414.258,OWID_USS
9243,Uganda,1980,4.742,UGA
9248,Uganda,1985,4.141,UGA
9253,Uganda,1990,5.677,UGA
9258,Uganda,1995,7.134,UGA
9263,Uganda,2000,10.226,UGA
9268,Uganda,2005,13.586,UGA
9273,Uganda,2010,19.556,UGA
9278,Uganda,2015,26.354,UGA
9280,Ukraine,1985,2775.558,UKR
9285,Ukraine,1990,3171.154,UKR
9290,Ukraine,1995,1764.668,UKR
9295,Ukraine,2000,1581.464,UKR
9300,Ukraine,2005,1592.879,UKR
9305,Ukraine,2010,1410.535,UKR
9310,Ukraine,2015,986.319,UKR
9330,United Arab Emirates,1980,108.279,ARE
9335,United Arab Emirates,1985,203.431,ARE
9340,United Arab Emirates,1990,347.018,ARE
9345,United Arab Emirates,1995,487.283,ARE
9350,United Arab Emirates,2000,538.872,ARE
9355,United Arab Emirates,2005,708.238,ARE
9360,United Arab Emirates,2010,974.42,ARE
9365,United Arab Emirates,2015,1245.817,ARE
9385,United Kingdom,1980,2378.207,GBR
9390,United Kingdom,1985,2386.37,GBR
9395,United Kingdom,1990,2503.302,GBR
9400,United Kingdom,1995,2545.649,GBR
9405,United Kingdom,2000,2659.165,GBR
9410,United Kingdom,2005,2708.794,GBR
9415,United Kingdom,2010,2482.843,GBR
9420,United Kingdom,2015,2252.941,GBR
9440,United States,1980,20717.494,USA
9445,United States,1985,20156.714,USA
9450,United States,1990,22498.158,USA
9455,United States,1995,24222.295,USA
9460,United States,2000,26427.463,USA
9465,United States,2005,26788.164,USA
9470,United States,2010,25825.74,USA
9475,United States,2015,25596.966,USA
9517,United States Virgin Islands,1980,11.733,VIR
9522,United States Virgin Islands,1985,11.733,VIR
9527,United States Virgin Islands,1990,12.739,VIR
9532,United States Virgin Islands,1995,13.914,VIR
9537,United States Virgin Islands,2000,40.656,VIR
9542,United States Virgin Islands,2005,65.881,VIR
9547,United States Virgin Islands,2010,29.954,VIR
9552,United States Virgin Islands,2015,12.116,VIR
9554,Uruguay,1980,31.68,URY
9559,Uruguay,1985,33.2,URY
9564,Uruguay,1990,39.39,URY
9569,Uruguay,1995,35.267,URY
9574,Uruguay,2000,46.783,URY
9579,Uruguay,2005,47.54,URY
9584,Uruguay,2010,61.102,URY
9589,Uruguay,2015,67.251,URY
9591,Uzbekistan,1985,481.675,UZB
9596,Uzbekistan,1990,507.738,UZB
9601,Uzbekistan,1995,507.293,UZB
9606,Uzbekistan,2000,595.092,UZB
9611,Uzbekistan,2005,558.444,UZB
9616,Uzbekistan,2010,517.172,UZB
9621,Uzbekistan,2015,525.034,UZB
9626,Vanuatu,1980,0.587,VUT
9631,Vanuatu,1985,0.587,VUT
9636,Vanuatu,1990,0.484,VUT
9641,Vanuatu,1995,0.212,VUT
9646,Vanuatu,2000,0.382,VUT
9651,Vanuatu,2005,0.384,VUT
9656,Vanuatu,2010,0.68,VUT
9661,Vanuatu,2015,0.668,VUT
9678,Venezuela,1980,453.61,VEN
9683,Venezuela,1985,499.715,VEN
9688,Venezuela,1990,596.927,VEN
9693,Venezuela,1995,718.177,VEN
9698,Venezuela,2000,771.513,VEN
9703,Venezuela,2005,852.056,VEN
9708,Venezuela,2010,924.642,VEN
9713,Venezuela,2015,915.161,VEN
9733,Vietnam,1980,53.883,VNM
9738,Vietnam,1985,60.493,VNM
9743,Vietnam,1990,75.844,VNM
9748,Vietnam,1995,124.422,VNM
9753,Vietnam,2000,209.652,VNM
9758,Vietnam,2005,362.478,VNM
9763,Vietnam,2010,520.243,VNM
9768,Vietnam,2015,804.326,VNM
9828,Western Sahara,1980,0.587,ESH
9833,Western Sahara,1985,0.88,ESH
9838,Western Sahara,1990,0.866,ESH
9843,Western Sahara,1995,0.933,ESH
9848,Western Sahara,2000,1.07,ESH
9853,Western Sahara,2005,1.07,ESH
9858,Western Sahara,2010,1.07,ESH
9863,Western Sahara,2015,1.07,ESH
9880,World,1980,77628.384,OWID_WRL
9885,World,1985,83952.22,OWID_WRL
9890,World,1990,95062.948,OWID_WRL
9895,World,1995,100421.001,OWID_WRL
9900,World,2000,109583.378,OWID_WRL
9905,World,2005,126965.866,OWID_WRL
9910,World,2010,140562.373,OWID_WRL
9915,World,2015,150882.037,OWID_WRL
9920,Yemen,1980,28.16,YEM
9925,Yemen,1985,43.12,YEM
9930,Yemen,1990,47.102,YEM
9935,Yemen,1995,44.21,YEM
9940,Yemen,2000,60.187,YEM
9945,Yemen,2005,83.354,YEM
9950,Yemen,2010,99.821,YEM
9955,Yemen,2015,73.622,YEM
9957,Yugoslavia,1980,483.67,OWID_YGS
9962,Yugoslavia,1985,637.354,OWID_YGS
9967,Yugoslavia,1990,620.156,OWID_YGS
9969,Zambia,1980,39.885,ZMB
9974,Zambia,1985,38.877,ZMB
9979,Zambia,1990,32.965,ZMB
9984,Zambia,1995,29.92,ZMB
9989,Zambia,2000,29.394,ZMB
9994,Zambia,2005,34.508,ZMB
9999,Zambia,2010,38.543,ZMB
10004,Zambia,2015,51.996,ZMB
10006,Zimbabwe,1980,38.612,ZWE
10011,Zimbabwe,1985,40.26,ZWE
10016,Zimbabwe,1990,58.829,ZWE
10021,Zimbabwe,1995,52.068,ZWE
10026,Zimbabwe,2000,54.651,ZWE
10031,Zimbabwe,2005,48.69,ZWE
10036,Zimbabwe,2010,46.599,ZWE
10041,Zimbabwe,2015,55.642,ZWE
